Network    , Core Count, Network_Request_Control, Network_Response_Data, Network_Writeback_Data
SimplePt2Pt,          2,                    7948,               4026888,                1001706
Circle     ,          2,                   11931,               6484447,                1440128
Crossbar   ,          2,                   11484,               6040032,                1502559
SimplePt2Pt,          4,                  253228,               4030964,                1001484
Circle     ,          4,                  561728,               8381114,                2316615
Crossbar   ,          4,                  378311,               6045455,                1502226
SimplePt2Pt,          8,                  405694,               4041748,                1001596
Circle     ,          8,                 1247391,              12190192,                4070546
Crossbar   ,          8,                  587823,               6060095,                1502259
SimplePt2Pt,         16,                  764842,               4063940,                1004484
Circle     ,         16,                 3919500,              19874359,                7593664
Crossbar   ,         16,                 1139822,               6094745,                1507335
